YYYY.MM.DD hh:mm;RADAR;FMTS;TIME;H;KN04CODE;D;MINEL;A10EL;Q;GT;MT;IZT;WD;WS;SPKS
2016.04.01 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5669;30548;56203;68172;12;-1;7.5;-1.35341;-56.3;90;0;0;0
2016.04.01 23:30;R;CDGDIFK0LYPFRWSPT0T3tu;5663;30562;56203;84846;12;-1;7.5;-1.70938;-56.2;90;0;0;0
2016.04.02 11:31;R;CDGDIFK0K4LYPFRWSPT0T3tu;5465;31232;56203;83331;12;-1;7.5;-1.27128;-60.1;90;0;0;0
2016.04.02 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4997;28190;56203;79542;11;-1;7.5;-3.60625;-57.2;90;0;0;0
2016.04.03 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;7068;32340;56203;113445;8;7221;7.25;-7.63125;-54;90;0;0;0
2016.04.03 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5301;29008;56203;91110;9;7616;7.5;-13.0208;-52.7;90;0;0;0
2016.04.04 11:30;R;CDGDIFK0LYPFRWSPT0tu;5089;28068;56203;82197;14;-1;7.5;-17.9196;-49.9;90;0;0;0
2016.04.04 23:30;R;CDGDIFK0K4LYPFRWSPT0tu;5060;28049;56203;84407;14;-1;7.5;-22.6598;-56.1;90;0;0;0
2016.04.05 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5879;31228;56203;97485;10;-1;7.5;-21.0787;-60.1;90;0;0;0
2016.04.05 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;879;926;59003;1135;46;-1;4.25;-20.4044;-26.5;90;0;0;0
2016.04.06 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4576;25844;59003;71266;13;-1;7.5;-18.2409;-57.6;90;0;0;0
2016.04.06 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5035;29059;56203;70973;13;-1;7.5;-19.2548;-59.4;90;0;0;0
2016.04.07 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4266;20622;56203;57498;16;-1;7.5;-12.8906;-61.7;90;0;0;0
2016.04.07 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4815;28473;56203;46583;19;-1;7.5;-10.1755;-61.6;90;0;0;0
2016.04.08 11:30;R;CDGDIFK0K4LYPFRWSPT0tu;4624;24265;56203;38812;18;-1;7.5;-5.37222;-57.4;90;0;0;0
2016.04.08 23:30;R;CDGDIFK0K4LYPFRWSPT0tu;4436;26386;56203;45822;13;-1;7.5;-4.2;-54.9;90;0;0;0
2016.04.09 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4714;27279;56203;58515;11;-1;7.5;-4.55638;-53.1;90;0;0;0
2016.04.09 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4699;26580;56203;40788;20;-1;7.5;-7.41354;-53.1;90;0;0;0
2016.04.10 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;4265;24284;56203;36701;26;-1;7.5;1.13958;-58.7;90;0;0;0
2016.04.10 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;6629;31866;56203;36372;20;-1;7.25;-0.747396;-59.5;90;0;0;0
2016.04.11 11:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5662;30854;56203;33724;23;-1;7.5;0.367021;-58.6;90;0;0;0
2016.04.11 23:30;R;CDGDIFK0K4LYPFRWSPT0T3tu;5190;27641;56203;27885;26;-1;7.5;-2.45278;-56.5;90;0;0;0
