YYYY.MM.DD hh:mm;RADAR;FMTS;TIME;H;KN04CODE;D;MINEL;A10EL;Q;GT;MT;IZT;WD;WS;SPKS;SHGHT;LERRT;LERRH
0117.05.02 11:29;v;CDGDIFK0LYRWSPT0tu;3498;16162;59003;66644;13.69;-1;9;21.7033;-55.9;90;-72.6772;18;0;34;-0.8;-9.1
2017.05.02 23:30;V;CDIFtu?;0;0;0;0;-1;-1;0;-1;0;29;0;0
2017.05.02 11:30;V;CDGDIFK0LYRWSPT0tu?;3498;16162;59003;66644;13.69;-1;9;21.7033;-55.9;90;0;0
0117.05.21 23:29;v;CDGDIFK0K4LYRWSPT0T3tu;5814;27300;59003;145435;7.77;4764;10;17.3516;-57.1;90;-129.077;32.2308;0;0;-0.4;2
0117.05.21 11:29;v;CDGDIFK0K4LYRWSPT0T3tu;6877;34000;59003;93735;11.27;-1;9.66667;24.2918;-64.1;90;-108.741;20.5;0;34;-0.4;-5.9
2017.05.22 23:30;V;GDK0LYRWSPT0?;2211;9808;59003;60276;8.88;8205;4.66667;22.2;-47;0;0;0
2017.05.21 11:30;V;CDGDIFK0K4LYRWSPT0T3tu?;6877;34000;59003;93735;11.27;-1;9.66667;24.2918;-64.1;90;0;0
0117.05.22 23:31;v;CDGDIFK0K4LYRWSPT0T3tu;7159;27410;59003;117632;8.31;10357;10;6.12659;-59.9;90;-149.688;27.6364;0;41;-0.5;2.7
2017.05.22 11:30;V;CDGDIFK0K4LYRWSPT0T3tu?;5814;27300;59003;145435;7.77;4764;10;17.3516;-57.1;90;0;0
2017.05.23 23:30;V;CDGDIFK0K4LYRWSPT0T3tu?;4354;16353;52903;68335;13.52;-1;9;3.2;-53.3;29;0;0
2017.05.22 11:31;V;GDK0LYRWSPT0;2211;9808;59003;60276;8.88;8205;4.66667;22.2;-47;0;-122.867;33.5333;0;34;0.2;2.6
2017.05.23 23:35;V;CDGDIFK0K4LYRWSPT0T3tu;7193;31608;56003;81670;14.05;-1;10;2.072;-54.4;60;-121.638;18.2727;0;1;0.8;11.5
