YYYY.MM.DD hh:mm;RADAR;FMTS;TIME;H;KN04CODE;D;MINEL;A10EL;Q;GT;MT;IZT;WD;WS;SPKS;SHGHT;LERRT;LERRH
2016.09.01 11:30;V;CDGDIFK0K4LYRWSPT0T3tu;6764;34476;56203;71656;13.12;-1;10;14.9194;-57.9;62;-36.3564;20.45;0;14;-0.1;4.1
2016.09.01 23:30;V;CDGDIFK0K4LYRWSPT0T3tu;5521;25562;56203;61385;16.25;-1;10;12.4851;-59.9;62;-28.2355;16.7;0;-1;-0.1;9.6
2016.09.02 11:30;V;CDGDIFK0LYRWSPT0T3tu;6453;32927;56203;60815;20.14;-1;10;18.6081;-59.6;62;-27.1708;11.1429;0;14;-0.6;8.8
2016.09.02 23:30;V;CDGDIFK0LYRWSPT0T3tu;9096;29637;56203;51504;17.54;-1;10;12.145;-56.9;62;-11.3731;6.625;0;-1;-0.1;11.4
2016.09.03 11:30;V;CDGDIFK0K4LYRWSPT0T3tu;5603;14310;56203;22475;10.42;-1;8.66667;20.1657;-55.8;62;-14.9387;4.86957;0;14;-0.8;0.3
2016.09.03 23:30;V;CDGDIFK0K4LYRWSPT0T3tu;6239;33911;56203;34711;18.11;-1;10;10.2061;-55.9;62;4.0872;3.65385;0;-2;-0.3;2.6
2016.09.04 11:30;V;CDGDIFK0K4LYRWSPT0T3tu;4153;20077;56203;24196;20.86;-1;10;19.7484;-55.1;62;-89.2997;3.68182;0;13;0;9.7
2016.09.04 23:31;V;CDGDIFK0K4LYRWSPT0T3tu;6213;34301;56203;36635;36.15;-1;10;11.3008;-56.6;62;-108.63;6;0;-2;0;9.9
2016.09.05 11:30;V;CDGDIFK0LYRWSPT0T3tu;5508;28758;56203;48815;22.52;-1;10;22.9229;-57.4;62;-133.475;13.7647;0;13;-0.1;0.4
2016.09.05 23:30;V;CDGDIFK0LYRWSPT0T3tu;1750;8121;56203;20930;22.33;-1;6.66667;15.955;-40;62;-145.08;14.3077;0;-2;0;12.2
2016.09.06 11:31;V;CDGDIFK0K4LYRWSPT0T3tu;8242;36365;56203;54913;18.52;-1;10;23.7047;-55.4;62;-126.253;12.25;0;12;-1;10.3
